type,nivel,t,rh,uv,ps,pw
113,350,NA,NA,NA,NA,NA
113,300,NA,NA,NA,NA,NA
113,250,NA,NA,NA,NA,NA
113,200,NA,NA,NA,NA,NA
113,150,NA,NA,NA,NA,NA
113,100,NA,NA,NA,NA,NA
113,75,NA,NA,NA,NA,NA
113,50,NA,NA,NA,NA,NA
113,40,NA,NA,NA,NA,NA
113,30,NA,NA,NA,NA,NA
113,20,NA,NA,NA,NA,NA
113,10,NA,NA,NA,NA,NA
113,5,NA,NA,NA,NA,NA
113,4,NA,NA,NA,NA,NA
113,3,NA,NA,NA,NA,NA
113,2,NA,NA,NA,NA,NA
113,1,NA,NA,NA,NA,NA
113,0,NA,NA,NA,NA,NA
114,1100,NA,NA,NA,NA,NA
114,1050,NA,NA,NA,NA,NA
114,1000,NA,NA,NA,NA,NA
114,950,NA,NA,NA,NA,NA
114,900,NA,NA,NA,NA,NA
114,850,NA,NA,NA,NA,NA
114,800,NA,NA,NA,NA,NA
114,750,NA,NA,NA,NA,NA
114,700,NA,NA,NA,NA,NA
114,650,NA,NA,NA,NA,NA
114,600,NA,NA,NA,NA,NA
114,550,NA,NA,NA,NA,NA
114,500,NA,NA,NA,NA,NA
114,450,NA,NA,NA,NA,NA
114,400,NA,NA,NA,NA,NA
114,350,NA,NA,NA,NA,NA
114,300,NA,NA,NA,NA,NA
114,250,NA,NA,NA,NA,NA
114,200,NA,NA,NA,NA,NA
114,150,NA,NA,NA,NA,NA
114,100,NA,NA,NA,NA,NA
114,75,NA,NA,NA,NA,NA
114,50,NA,NA,NA,NA,NA
114,40,NA,NA,NA,NA,NA
114,30,NA,NA,NA,NA,NA
114,20,NA,NA,NA,NA,NA
114,10,NA,NA,NA,NA,NA
114,5,NA,NA,NA,NA,NA
114,4,NA,NA,NA,NA,NA
114,3,NA,NA,NA,NA,NA
114,2,NA,NA,NA,NA,NA
114,1,NA,NA,NA,NA,NA
114,0,NA,NA,NA,NA,NA
115,1100,NA,NA,NA,NA,NA
115,1050,NA,NA,NA,NA,NA
115,1000,NA,NA,NA,NA,NA
115,950,NA,NA,NA,NA,NA
115,900,NA,NA,NA,NA,NA
115,850,NA,NA,NA,NA,NA
115,800,NA,NA,NA,NA,NA
115,750,NA,NA,NA,NA,NA
115,700,NA,NA,NA,NA,NA
115,650,NA,NA,NA,NA,NA
115,600,NA,NA,NA,NA,NA
115,550,NA,NA,NA,NA,NA
115,500,NA,NA,NA,NA,NA
115,450,NA,NA,NA,NA,NA
115,400,NA,NA,NA,NA,NA
115,350,NA,NA,NA,NA,NA
115,300,NA,NA,NA,NA,NA
115,250,NA,NA,NA,NA,NA
115,200,NA,NA,NA,NA,NA
115,150,NA,NA,NA,NA,NA
115,100,NA,NA,NA,NA,NA
115,75,NA,NA,NA,NA,NA
115,50,NA,NA,NA,NA,NA
115,40,NA,NA,NA,NA,NA
115,30,NA,NA,NA,NA,NA
115,20,NA,NA,NA,NA,NA
115,10,NA,NA,NA,NA,NA
115,5,NA,NA,NA,NA,NA
115,4,NA,NA,NA,NA,NA
115,3,NA,NA,NA,NA,NA
115,2,NA,NA,NA,NA,NA
115,1,NA,NA,NA,NA,NA
115,0,NA,NA,NA,NA,NA
116,1100,NA,NA,NA,NA,NA
116,1050,NA,NA,NA,NA,NA
116,1000,NA,NA,NA,NA,NA
116,950,NA,NA,NA,NA,NA
116,900,NA,NA,NA,NA,NA
116,850,NA,NA,NA,NA,NA
116,800,NA,NA,NA,NA,NA
116,750,NA,NA,NA,NA,NA
116,700,NA,NA,NA,NA,NA
116,650,NA,NA,NA,NA,NA
116,600,NA,NA,NA,NA,NA
116,550,NA,NA,NA,NA,NA
116,500,NA,NA,NA,NA,NA
116,450,NA,NA,NA,NA,NA
116,400,NA,NA,NA,NA,NA
116,350,NA,NA,NA,NA,NA
116,300,NA,NA,NA,NA,NA
116,250,NA,NA,NA,NA,NA
116,200,NA,NA,NA,NA,NA
116,150,NA,NA,NA,NA,NA
116,100,NA,NA,NA,NA,NA
116,75,NA,NA,NA,NA,NA
116,50,NA,NA,NA,NA,NA
116,40,NA,NA,NA,NA,NA
116,30,NA,NA,NA,NA,NA
116,20,NA,NA,NA,NA,NA
116,10,NA,NA,NA,NA,NA
116,5,NA,NA,NA,NA,NA
116,4,NA,NA,NA,NA,NA
116,3,NA,NA,NA,NA,NA
116,2,NA,NA,NA,NA,NA
116,1,NA,NA,NA,NA,NA
116,0,NA,NA,NA,NA,NA
117,1100,NA,NA,NA,NA,NA
117,1050,NA,NA,NA,NA,NA
117,1000,NA,NA,NA,NA,NA
117,950,NA,NA,NA,NA,NA
117,900,NA,NA,NA,NA,NA
117,850,NA,NA,NA,NA,NA
117,800,NA,NA,NA,NA,NA
117,750,NA,NA,NA,NA,NA
117,700,NA,NA,NA,NA,NA
117,650,NA,NA,NA,NA,NA
117,600,NA,NA,NA,NA,NA
117,550,NA,NA,NA,NA,NA
117,500,NA,NA,NA,NA,NA
117,450,NA,NA,NA,NA,NA
117,400,NA,NA,NA,NA,NA
117,350,NA,NA,NA,NA,NA
117,300,NA,NA,NA,NA,NA
117,250,NA,NA,NA,NA,NA
117,200,NA,NA,NA,NA,NA
117,150,NA,NA,NA,NA,NA
117,100,NA,NA,NA,NA,NA
117,75,NA,NA,NA,NA,NA
117,50,NA,NA,NA,NA,NA
117,40,NA,NA,NA,NA,NA
117,30,NA,NA,NA,NA,NA
117,20,NA,NA,NA,NA,NA
117,10,NA,NA,NA,NA,NA
117,5,NA,NA,NA,NA,NA
117,4,NA,NA,NA,NA,NA
117,3,NA,NA,NA,NA,NA
117,2,NA,NA,NA,NA,NA
117,1,NA,NA,NA,NA,NA
117,0,NA,NA,NA,NA,NA
118,1100,NA,NA,NA,NA,NA
118,1050,NA,NA,NA,NA,NA
118,1000,NA,NA,NA,NA,NA
118,950,NA,NA,NA,NA,NA
118,900,NA,NA,NA,NA,NA
118,850,NA,NA,NA,NA,NA
118,800,NA,NA,NA,NA,NA
118,750,NA,NA,NA,NA,NA
118,700,NA,NA,NA,NA,NA
118,650,NA,NA,NA,NA,NA
118,600,NA,NA,NA,NA,NA
118,550,NA,NA,NA,NA,NA
118,500,NA,NA,NA,NA,NA
118,450,NA,NA,NA,NA,NA
118,400,NA,NA,NA,NA,NA
118,350,NA,NA,NA,NA,NA
118,300,NA,NA,NA,NA,NA
118,250,NA,NA,NA,NA,NA
118,200,NA,NA,NA,NA,NA
118,150,NA,NA,NA,NA,NA
118,100,NA,NA,NA,NA,NA
118,75,NA,NA,NA,NA,NA
118,50,NA,NA,NA,NA,NA
118,40,NA,NA,NA,NA,NA
118,30,NA,NA,NA,NA,NA
118,20,NA,NA,NA,NA,NA
118,10,NA,NA,NA,NA,NA
118,5,NA,NA,NA,NA,NA
118,4,NA,NA,NA,NA,NA
118,3,NA,NA,NA,NA,NA
118,2,NA,NA,NA,NA,NA
118,1,NA,NA,NA,NA,NA
118,0,NA,NA,NA,NA,NA
119,1100,NA,NA,NA,NA,NA
119,1050,NA,NA,NA,NA,NA
119,1000,NA,NA,NA,NA,NA
119,950,NA,NA,NA,NA,NA
119,900,NA,NA,NA,NA,NA
119,850,NA,NA,NA,NA,NA
119,800,NA,NA,NA,NA,NA
119,750,NA,NA,NA,NA,NA
119,700,NA,NA,NA,NA,NA
119,650,NA,NA,NA,NA,NA
119,600,NA,NA,NA,NA,NA
119,550,NA,NA,NA,NA,NA
119,500,NA,NA,NA,NA,NA
119,450,NA,NA,NA,NA,NA
119,400,NA,NA,NA,NA,NA
119,350,NA,NA,NA,NA,NA
119,300,NA,NA,NA,NA,NA
119,250,NA,NA,NA,NA,NA
119,200,NA,NA,NA,NA,NA
119,150,NA,NA,NA,NA,NA
119,100,NA,NA,NA,NA,NA
119,75,NA,NA,NA,NA,NA
119,50,NA,NA,NA,NA,NA
119,40,NA,NA,NA,NA,NA
119,30,NA,NA,NA,NA,NA
119,20,NA,NA,NA,NA,NA
119,10,NA,NA,NA,NA,NA
119,5,NA,NA,NA,NA,NA
119,4,NA,NA,NA,NA,NA
119,3,NA,NA,NA,NA,NA
119,2,NA,NA,NA,NA,NA
119,1,NA,NA,NA,NA,NA
119,0,NA,NA,NA,NA,NA
120,1100,1.2,2,NA,1.1,NA
120,1050,1.2,2,NA,1.1,NA
120,1000,1.2,2,NA,1.1,NA
120,950,1.1,2,NA,1.1,NA
120,900,0.9,2,NA,1.1,NA
120,850,0.8,2,NA,1.1,NA
120,800,0.8,2,NA,1.1,NA
120,750,0.8,2,NA,1.2,NA
120,700,0.8,2,NA,1.2,NA
120,650,0.8,2,NA,1.2,NA
120,600,0.8,2,NA,1.2,NA
120,550,0.8,2,NA,NA,NA
120,500,0.8,2,NA,NA,NA
120,450,0.8,2,NA,NA,NA
120,400,0.8,2,NA,NA,NA
120,350,0.8,2,NA,NA,NA
120,300,0.9,2,NA,NA,NA
120,250,1.2,2,NA,NA,NA
120,200,1.2,2,NA,NA,NA
120,150,1,2,NA,NA,NA
120,100,0.8,2,NA,NA,NA
120,75,0.8,2,NA,NA,NA
120,50,0.9,2,NA,NA,NA
120,40,0.95,2,NA,NA,NA
120,30,1,2,NA,NA,NA
120,20,1.25,2,NA,NA,NA
120,10,1.5,2,NA,NA,NA
120,5,1.5,2,NA,NA,NA
120,4,1.5,2,NA,NA,NA
120,3,1.5,2,NA,NA,NA
120,2,1.5,2,NA,NA,NA
120,1,1.5,2,NA,NA,NA
120,0,1.5,2,NA,NA,NA
