var,type,date,rmsi,spread,bias,count,cr
v,287,2018-11-22T12:00:00Z,4.0865327313472,20.3371603816626,-0.872612994592355,67571,4.97662975403554
t,187,2018-11-22T13:00:00Z,6.60575519251449,9.61061082673435,-0.178677182498152,155555,1.4548844979337
t,181,2018-11-22T13:00:00Z,6.76024933177737,139.102962873827,0.933835905997942,53440,20.5766024368297
u,287,2018-11-22T13:00:00Z,2.06743458861352,47.154983810035,0.613875872903169,67602,22.8084525961512
u,281,2018-11-22T13:00:00Z,2.46788967135164,10.7674124493423,0.138007154404293,52551,4.36300397636703
v,287,2018-11-22T13:00:00Z,3.08714284911095,24.9293352602296,-0.852569153437768,67602,8.07521273834441
v,281,2018-11-22T13:00:00Z,3.87705337110384,14.8866233279134,0.148722821055736,52551,3.83967459382046
t,187,2018-11-22T14:00:00Z,7.92781986624517,13.6445391306959,-0.401839991432843,157205,1.72109600885247
t,181,2018-11-22T14:00:00Z,7.33221292775331,256.847366548404,0.776481693058745,53996,35.0299928656198
u,287,2018-11-22T14:00:00Z,1.67319237967212,113.757026278103,0.873671899625342,68329,67.9880136080914
u,281,2018-11-22T14:00:00Z,1.45287341180598,62.6329371335582,0.0916478150260627,53141,43.1097001463485
v,287,2018-11-22T14:00:00Z,3.45852007295131,19.4386948857577,-1.0166511274715,68329,5.62052394542554
v,281,2018-11-22T14:00:00Z,4.01674101559076,15.2372598989263,0.0905439933648219,53141,3.79343847158273
t,187,2018-11-22T15:00:00Z,7.37195928120624,35.7839010796234,-0.48719407043766,158982,4.85405571499145
t,181,2018-11-22T15:00:00Z,5.65229702116627,542.852308904493,0.722603927258299,60488,96.0410089688606
u,287,2018-11-22T15:00:00Z,1.59796685239618,111.873036285462,1.08385794303387,69113,70.0096100977977
u,281,2018-11-22T15:00:00Z,1.35076633761788,162.770454373595,-0.281568991250694,59399,120.502302908026
v,287,2018-11-22T15:00:00Z,2.73968909497832,16.1419363520104,-1.24546956469984,69113,5.89188619307114
v,281,2018-11-22T15:00:00Z,3.45216280466417,15.9693439912719,-0.30154985851277,59399,4.62589538642149
