var,type,nivel.error,date,mean.y,sd.y
t,131,250,2018-11-21T00:00:00Z,-0.53922398060811,1.14587590784835
t,131,300,2018-11-21T00:00:00Z,0.00779098243127352,0.902346414607179
t,131,350,2018-11-21T00:00:00Z,-0.0949931938926263,0.856819542764636
t,131,400,2018-11-21T00:00:00Z,0.479847092749991,0.80408923844667
t,131,500,2018-11-21T00:00:00Z,0.987120807965773,0.713060787140166
t,131,450,2018-11-21T00:00:00Z,0.176649814691754,0.623088191932064
t,131,550,2018-11-21T00:00:00Z,0.191705426970172,1.06701259646506
t,131,600,2018-11-21T00:00:00Z,1.49790078757054,0.681637586443342
t,120,950,2018-11-21T00:00:00Z,1.38662397871646,0.904625455766451
t,120,850,2018-11-21T00:00:00Z,0.338918116616947,0.821817379119623
t,120,700,2018-11-21T00:00:00Z,0.445196745935615,0.975862126331807
t,120,500,2018-11-21T00:00:00Z,-0.186648710718776,1.09336623738548
t,120,400,2018-11-21T00:00:00Z,0.0434408709775858,0.970444064186337
t,120,300,2018-11-21T00:00:00Z,-0.0804405978425116,1.00425245405222
t,120,250,2018-11-21T00:00:00Z,-0.169266821247659,0.968807904614898
t,120,200,2018-11-21T00:00:00Z,0.31982906325003,1.04702859887755
t,120,150,2018-11-21T00:00:00Z,0.147065661332495,1.06870463670368
t,120,100,2018-11-21T00:00:00Z,-0.629208039086584,0.661302360622939
t,131,950,2018-11-21T00:00:00Z,1.29501919895694,0.624686508942223
t,131,900,2018-11-21T00:00:00Z,0.241993466719146,0.516804993889917
t,131,850,2018-11-21T00:00:00Z,0.472907541626363,0.647726426499434
t,131,800,2018-11-21T00:00:00Z,0.110609202417213,0.719024726911301
t,131,750,2018-11-21T00:00:00Z,0.28842985524994,0.579654518779386
t,131,1000,2018-11-21T00:00:00Z,1.70329712600376,0.141954127356154
t,131,700,2018-11-21T00:00:00Z,0.388941060356527,0.73808153991459
t,131,650,2018-11-21T00:00:00Z,0.487309261842264,1.0463606450993
t,120,800,2018-11-21T00:00:00Z,0.455113600920342,0.882425812774942
t,120,750,2018-11-21T00:00:00Z,0.255156480276408,0.915218911359293
t,120,650,2018-11-21T00:00:00Z,0.413872873611739,0.872830242112495
t,120,550,2018-11-21T00:00:00Z,-0.299503533320004,1.14916568603992
t,120,350,2018-11-21T00:00:00Z,-0.0200532755994183,1.04532441225985
t,120,75,2018-11-21T00:00:00Z,-0.648998055110378,0.68661890950797
t,120,50,2018-11-21T00:00:00Z,0.250669063028328,1.27262437493066
t,120,1000,2018-11-21T00:00:00Z,1.61379450134801,0.959489505011207
t,120,900,2018-11-21T00:00:00Z,0.735815357825471,0.85771566958557
t,120,450,2018-11-21T00:00:00Z,0.0738338947250265,1.00228719554407
t,120,600,2018-11-21T00:00:00Z,0.206920570068857,0.988109013965226
u,231,200,2018-11-21T00:00:00Z,0.138832641649789,0.642055663448378
u,231,250,2018-11-21T00:00:00Z,0.142507663001393,1.15676563323929
u,231,300,2018-11-21T00:00:00Z,-0.53218249333723,0.192171651771683
u,231,350,2018-11-21T00:00:00Z,-0.745488153445094,0.333842478739087
u,231,400,2018-11-21T00:00:00Z,0.0667529585463564,0.556450362006261
u,231,500,2018-11-21T00:00:00Z,0.893676602910133,0.358848306219557
u,231,450,2018-11-21T00:00:00Z,0.552468106903069,0.32974627538106
u,231,550,2018-11-21T00:00:00Z,0.512029303207088,0.892710174282595
u,231,600,2018-11-21T00:00:00Z,0.137264838772417,0.393181955603731
u,220,950,2018-11-21T00:00:00Z,-0.0172730273325569,1.03085889200092
u,220,850,2018-11-21T00:00:00Z,-0.00103953126858357,0.874902876321409
u,220,700,2018-11-21T00:00:00Z,0.093228809311875,0.911237489353721
u,220,500,2018-11-21T00:00:00Z,-0.212483153807107,1.1888166735109
u,220,400,2018-11-21T00:00:00Z,-0.0508121779753438,0.904767457624887
u,220,300,2018-11-21T00:00:00Z,0.383678104761207,0.849849910954713
u,220,250,2018-11-21T00:00:00Z,0.484425676185287,0.938919772761381
u,220,200,2018-11-21T00:00:00Z,0.614229862856386,1.07587048330653
u,220,150,2018-11-21T00:00:00Z,0.448275147117596,1.19019995949012
u,220,100,2018-11-21T00:00:00Z,0.0349087617988154,1.1273605759437
u,220,75,2018-11-21T00:00:00Z,0.166511696294645,1.40755510540137
u,220,50,2018-11-21T00:00:00Z,-0.490878342718007,0.867269705653141
u,231,950,2018-11-21T00:00:00Z,0.693923820155994,1.09595632918392
u,231,900,2018-11-21T00:00:00Z,0.921510842309925,0.803721769141292
u,231,850,2018-11-21T00:00:00Z,0.750986418079064,0.971728260565282
u,231,800,2018-11-21T00:00:00Z,0.591355645015535,0.64170529797099
u,231,750,2018-11-21T00:00:00Z,-0.149769241780982,0.530984254067688
u,231,1000,2018-11-21T00:00:00Z,-0.997606258938502,0.46664585949927
u,231,700,2018-11-21T00:00:00Z,-0.171621249567949,0.255381186425982
u,231,650,2018-11-21T00:00:00Z,1.10126061547226,0.204004916251835
u,220,900,2018-11-21T00:00:00Z,-0.297066215706792,0.55937573822955
u,220,800,2018-11-21T00:00:00Z,-0.412948830649062,1.60127591497358
u,220,750,2018-11-21T00:00:00Z,-0.386569951887249,1.07265883555245
u,220,650,2018-11-21T00:00:00Z,-0.335688877031137,1.17080861559721
u,220,600,2018-11-21T00:00:00Z,-0.0145664584829384,0.834570785875834
u,220,550,2018-11-21T00:00:00Z,-0.160632050563355,0.816376537562356
u,220,450,2018-11-21T00:00:00Z,0.34556606226645,0.993183684083789
u,220,350,2018-11-21T00:00:00Z,0.0809844714903166,1.01276928617346
u,220,1000,2018-11-21T00:00:00Z,1.10268881034415,1.52905008672702
v,231,200,2018-11-21T00:00:00Z,-0.133368448362652,0.651019663042252
v,231,250,2018-11-21T00:00:00Z,0.422056378282952,0.776739538519733
v,231,300,2018-11-21T00:00:00Z,0.489278790371954,0.492900279292187
v,231,350,2018-11-21T00:00:00Z,0.155021541640124,0.421128844290413
v,231,400,2018-11-21T00:00:00Z,1.12011345873219,0.380551528274481
v,231,500,2018-11-21T00:00:00Z,0.730590027412489,0.201726464544947
v,231,450,2018-11-21T00:00:00Z,0.849804339684002,0.827431547490756
